input_;output_
"{
  ""fields"": [
    {
      ""name"": ""Name"",
      ""type"": ""string"",
      ""required"": true,
      ""value"": ""Ataşehir""
    }
  ],
  ""endpoint"": ""api/Branch/BranchUpdate/7"",
  ""status"": false,
  ""modelMessage"": ""Düzenlemek istediğiniz bilgileri giriniz."",
  ""userMessage"": ""Şube adını Kadıköy yap""
}
";"{
  ""fields"": [
    {
      ""name"": ""Name"",
      ""type"": ""string"",
      ""required"": true,
      ""value"": ""Kadıköy""
    }
  ],
  ""endpoint"": ""api/Branch/BranchUpdate/7"",
  ""status"": true,
  ""modelMessage"": ""Şube adı Kadıköy olarak güncellendi."",
  ""userMessage"": """"
}
"
"{
  ""fields"": [
    {
      ""name"": ""BirthDate"",
      ""type"": ""DateTime"",
      ""required"": true,
      ""value"": ""2005-05-01T00:00:00""
    }
  ],
  ""endpoint"": ""api/Athlete/AthleteCreate"",
  ""status"": false,
  ""modelMessage"": ""Düzenlemek istediğiniz bilgileri giriniz."",
  ""userMessage"": ""Doğum tarihini 1 Ocak 2004 yap""
}
";"{
  ""fields"": [
    {
      ""name"": ""BirthDate"",
      ""type"": ""DateTime"",
      ""required"": true,
      ""value"": ""2004-01-01T00:00:00""
    }
  ],
  ""endpoint"": ""api/Athlete/AthleteCreate"",
  ""status"": true,
  ""modelMessage"": ""Doğum tarihi 1 Ocak 2004 olarak ayarlandı"",
  ""userMessage"": """"
}
"
"{
  ""fields"": [
    {
      ""name"": ""State"",
      ""type"": ""bool"",
      ""required"": true,
      ""value"": false
    }
  ],
  ""endpoint"": ""api/Company/CompanyCreate"",
  ""status"": false,
  ""modelMessage"": ""Düzenlemek istediğiniz bilgileri giriniz."",
  ""userMessage"": ""Şirketi aktif yap""
}
";"{
  ""fields"": [
    {
      ""name"": ""State"",
      ""type"": ""bool"",
      ""required"": true,
      ""value"": true
    }
  ],
  ""endpoint"": ""api/Company/CompanyCreate"",
  ""status"": true,
  ""modelMessage"": ""Şirket aktif hale getirildi."",
  ""userMessage"": """"
}
"
"{
  ""fields"": [
    {
      ""name"": ""Username"",
      ""type"": ""string"",
      ""required"": true,
      ""value"": ""john""
    }
  ],
  ""endpoint"": ""api/User/UserCreate"",
  ""status"": false,
  ""modelMessage"": ""Düzenlemek istediğiniz bilgileri giriniz."",
  ""userMessage"": ""Kullanıcı adını johndoe yap""
}
";"{
  ""fields"": [
    {
      ""name"": ""Username"",
      ""type"": ""string"",
      ""required"": true,
      ""value"": ""johndoe""
    }
  ],
  ""endpoint"": ""api/User/UserCreate"",
  ""status"": true,
  ""modelMessage"": ""Kullanıcı adı johndoe olarak ayarlandı."",
  ""userMessage"": """"
}
"
"{
  ""endpoint"": ""api/Branch/BranchCreate"",
  ""fields"": [
    {
      ""name"": ""Name"",
      ""type"": ""string"",
      ""required"": true,
      ""value"": """"
    }
  ],
  ""status"": false,
  ""modelMessage"": ""JSON da düzenleme yapabilmek için cevaplarınızı giriniz."",
  ""userMessage"": ""Fiziksel tıp ve rehabilitasyon isminde bir branş ekle""
}
";"{
  ""endpoint"": ""api/Branch/BranchCreate"",
  ""fields"": [
    {
      ""name"": ""Name"",
      ""type"": ""string"",
      ""required"": true,
      ""value"": ""Fiziksel tıp ve rehabilitasyon""
    }
  ],
  ""status"": true,
  ""modelMessage"": ""Branş adı Fiziksel tıp ve rehabilitasyon olarak ayarlandı"",
  ""userMessage"": """"
}
"
"{
  ""endpoint"": ""api/Branch/BranchCreate"",
  ""fields"": [
    { ""name"": ""Name"", ""type"": ""string"", ""required"": true, ""value"": """" }
  ],
  ""status"": false,
  ""modelMessage"": ""JSON da düzenleme yapabilmek için cevaplarınızı giriniz."",
  ""userMessage"": ""Göz hastalıkları isminde bir branş ekle""
}
";"{
  ""endpoint"": ""api/Branch/BranchCreate"",
  ""fields"": [
    { ""name"": ""Name"", ""type"": ""string"", ""required"": true, ""value"": ""Göz hastalıkları"" }
  ],
  ""status"": true,
  ""modelMessage"": ""Branş adı Göz hastalıkları olarak ayarlandı."",
  ""userMessage"": """"
}
"
"{
  ""endpoint"": ""api/User/UserCreate"",
  ""fields"": [
    { ""name"": ""Username"", ""type"": ""string"", ""required"": true, ""value"": ""admin"" }
  ],
  ""status"": false,
  ""modelMessage"": ""Düzenlemek istediğiniz bilgileri giriniz."",
  ""userMessage"": ""Kullanıcı adını admin01 yap""
}
";"{
  ""endpoint"": ""api/User/UserCreate"",
  ""fields"": [
    { ""name"": ""Username"", ""type"": ""string"", ""required"": true, ""value"": ""admin01"" }
  ],
  ""status"": true,
  ""modelMessage"": ""İsteğiniz doğrultusunda, kullanıcı adı admin01 olarak ayarlandı."",
  ""userMessage"": """"
}
"
"{
  ""endpoint"": ""api/User/UserCreate"",
  ""fields"": [
    { ""name"": ""Username"", ""type"": ""string"", ""required"": true, ""value"": ""guest"" }
  ],
  ""status"": false,
  ""modelMessage"": ""Düzenlemek istediğiniz bilgileri giriniz."",
  ""userMessage"": ""guest kullanıcı adını guest123 olarak değiştir""
}
";"{
  ""endpoint"": ""api/User/UserCreate"",
  ""fields"": [
    { ""name"": ""Username"", ""type"": ""string"", ""required"": true, ""value"": ""guest123"" }
  ],
  ""status"": true,
  ""modelMessage"": ""Kullanıcı adı guest123 olarak güncellendi."",
  ""userMessage"": """"
}
"
"{
  ""endpoint"": ""api/User/UserCreate"",
  ""fields"": [
    { ""name"": ""Username"", ""type"": ""string"", ""required"": true, ""value"": ""mehmet"" }
  ],
  ""status"": false,
  ""modelMessage"": ""Düzenlemek istediğiniz bilgileri giriniz."",
  ""userMessage"": ""mehmet kullanıcı adını mehmet_45 yap""
}
";"{
  ""endpoint"": ""api/User/UserCreate"",
  ""fields"": [
    { ""name"": ""Username"", ""type"": ""string"", ""required"": true, ""value"": ""mehmet_45"" }
  ],
  ""status"": true,
  ""modelMessage"": ""Kullanıcı adı mehmet_45 olarak güncellendi."",
  ""userMessage"": """"
}
"
"{
  ""endpoint"": ""api/User/UserCreate"",
  ""fields"": [
    { ""name"": ""Username"", ""type"": ""string"", ""required"": true, ""value"": """" }
  ],
  ""status"": false,
  ""modelMessage"": ""Düzenlemek istediğiniz bilgileri giriniz."",
  ""userMessage"": ""Yeni kullanıcı adı olarak zeynep_ kaydet""
}
";"{
  ""endpoint"": ""api/User/UserCreate"",
  ""fields"": [
    { ""name"": ""Username"", ""type"": ""string"", ""required"": true, ""value"": ""zeynep_"" }
  ],
  ""status"": true,
  ""modelMessage"": ""Kullanıcı adı zeynep_ olarak ayarlandı."",
  ""userMessage"": """"
}
"
"{
  ""endpoint"": ""api/Branch/BranchCreate"",
  ""fields"": [
    { ""name"": ""Name"", ""type"": ""string"", ""required"": true, ""value"": """" }
  ],
  ""status"": false,
  ""modelMessage"": ""JSON da düzenleme yapabilmek için cevaplarınızı giriniz."",
  ""userMessage"": ""Basketbol isminde bir branş tanımla""
}
";"{
  ""endpoint"": ""api/Branch/BranchCreate"",
  ""fields"": [
    { ""name"": ""Name"", ""type"": ""string"", ""required"": true, ""value"": ""Basketbol"" }
  ],
  ""status"": true,
  ""modelMessage"": ""Branş adı Basketbol olarak ayarlandı."",
  ""userMessage"": """"
}
"
